ORG4CODE,ORG8CODE,DISTRICT_N,DISTRICT_T,MEMBERLIST,TUITION,TUITION_GR,TUITION_TO,SUPERINTEN,START_GRAD,END_GRADE,SHAPE_AREA,SHAPE_LEN
0224,02240000,Orleans,MuniElem,,N,,,Union 54,PK,05,39866150.7559,62814.5875091
0041,00410000,Brewster,MuniElem,,N,,,Union 54,PK,05,66068355.6196,41698.64323
0296,02960000,Tisbury,MuniElem,,N,,,Union 19,PK,08,17021272.6338,39876.2179924
0221,02210000,Oak Bluffs,MuniElem,,N,,,Union 19,PK,08,19175294.7719,34447.853751
0089,00890000,Edgartown,MuniElem,,N,,,Union 19,PK,08,73621453.9887,101696.663083
0130,01300000,Heath,Member,,Y,PK-6,Hawlemont,,,,64524358.5404,33843.4293227
0145,01450000,Kingston,MuniElem,,N,,,Union 31,K,06,49387716.3487,31362.4565307
0173,01730000,Mattapoisett,MuniElem,,N,,,Union 55,PK,06,45711831.9004,48398.8227215
0117,01170000,Hadley,MuniK12,,N,,,,PK,12,63746571.7093,50459.8479552
0149,01490000,Lawrence,MuniK12,,N,,,,PK,12,19238173.7382,21162.9940986
0023,00230000,Bedford,MuniK12,,N,,,,PK,12,35840949.7263,24810.3178902
0027,00270000,Berkley,MuniElem,,N,,,,PK,08,42872675.0469,37296.4816469
0273,02730000,Somerset,MuniElem,,N,,,,PK,08,21237214.6891,35651.2820758
0230,02300000,Pelham,MuniElem,,N,,,Union 26,K,06,68761050.5764,40430.2109479
0269,02690000,Sherborn,MuniElem,,N,,,Union 50,PK,05,41841240.8933,30651.8875075
0298,02980000,Topsfield,MuniElem,,N,,,Union 58,PK,06,33152923.1379,31884.1358332
0272,02720000,Shutesbury,MuniElem,,N,,,Union 28,PK,06,70211872.48,40555.2285186
0253,02530000,Rowe,MuniElem,,Y,7-12,Mohawk Trail,Union 43,PK,06,62163485.5755,39761.0537268
0263,02630000,Savoy,MuniElem,,Y,6-12,Adams-Cheshire,Union 43,PK,05,93310332.5865,45397.0197137
0275,02750000,Southampton,MuniElem,,N,,,Union 66,PK,06,74971617.8838,43242.5737201
